	BA2	XBB	EG5	XBB.1.16	XBB.1.5	BA5	Alpha	Delta	DeltaPlus	Wuhan-Hu-1	Mu	Beta	Gamma	Lambda	BA1	SARS-CoV-1
BA2	0.0	0.025885938328202032	0.03544467411323449	0.029719151880590072	0.032031027175325785	0.03199562264033348	0.10356236313158346	0.10408518113930489	0.10600837384316943	0.10478976099340537	0.10806506137613311	0.10456662711903084	0.1007218573224417	0.10851894333302271	0.09090048296484138	0.10864347934310783
XBB	0.025885938328202032	0.0	0.01155334159176545	0.0058278193591210364	0.00813969465385675	0.026260276590755943	0.09782701708200592	0.09834983508972735	0.10027302779359189	0.09905441494382783	0.10232971532655558	0.0988312810694533	0.09498651127286416	0.10278359728344517	0.08516513691526384	0.1029081332935303
EG5	0.03544467411323449	0.01155334159176545	0.0	0.008910805428620105	0.012453821096015824	0.0358190123757884	0.10738575286703837	0.1079085708747598	0.10983176357862434	0.10861315072886028	0.11188845111158803	0.10839001685448575	0.10454524705789661	0.11234233306847763	0.0947238727002963	0.11246686907856274
XBB.1.16	0.029719151880590072	0.0058278193591210364	0.008910805428620105	0.0	0.00672829886337141	0.030093490143143983	0.10166023063439396	0.10218304864211539	0.10410624134597993	0.10288762849621587	0.10616292887894362	0.10266449462184134	0.0988197248252522	0.10661681083583321	0.08899835046765188	0.10674134684591832
XBB.1.5	0.032031027175325785	0.00813969465385675	0.012453821096015824	0.00672829886337141	0.0	0.032405365437879696	0.10397210592912967	0.1044949239368511	0.10641811664071564	0.10519950379095158	0.10847480417367933	0.10497636991657705	0.10113160011998791	0.10892868613056893	0.09131022576238759	0.10905322214065405
BA5	0.03199562264033348	0.026260276590755943	0.0358190123757884	0.030093490143143983	0.032405365437879696	0.0	0.09844796655765278	0.09897078456537421	0.10089397726923875	0.0996753644194747	0.10295066480220244	0.09945223054510016	0.09560746074851102	0.10340454675909204	0.0857860863909107	0.10352908276917716
Alpha	0.10356236313158346	0.09782701708200592	0.10738575286703837	0.10166023063439396	0.10397210592912967	0.09844796655765278	0.0	0.035790560920240105	0.037713753624104646	0.03649514077434059	0.039770441157068334	0.036272006899966056	0.033936552855093435	0.05816881822543578	0.09124064128847283	0.10941690348577396
Delta	0.10408518113930489	0.09834983508972735	0.1079085708747598	0.10218304864211539	0.1044949239368511	0.09897078456537421	0.035790560920240105	0.0	0.004097648359611072	0.027122580447729236	0.034380218358188205	0.030881784101085927	0.034459370862814864	0.05869163623315721	0.09176345929619426	0.10993972149349537
DeltaPlus	0.10600837384316943	0.10027302779359189	0.10983176357862434	0.10410624134597993	0.10641811664071564	0.10089397726923875	0.037713753624104646	0.004097648359611072	0.0	0.029045773151593776	0.036303411062052746	0.03280497680495047	0.036382563566679404	0.06061482893702175	0.0936866520000588	0.11186291419735991
Wuhan-Hu-1	0.10478976099340537	0.09905441494382783	0.10861315072886028	0.10288762849621587	0.10519950379095158	0.0996753644194747	0.03649514077434059	0.027122580447729236	0.029045773151593776	0.0	0.03508479821228869	0.03158636395518641	0.035163950716915346	0.05939621608725769	0.09246803915029474	0.11064430134759587
Mu	0.10806506137613311	0.10232971532655558	0.11188845111158803	0.10616292887894362	0.10847480417367933	0.10295066480220244	0.039770441157068334	0.034380218358188205	0.036303411062052746	0.03508479821228869	0.0	0.028614283822166825	0.03843925109964309	0.06267151646998544	0.09574333953302248	0.11391960173032362
Beta	0.10456662711903084	0.0988312810694533	0.10839001685448575	0.10266449462184134	0.10497636991657705	0.09945223054510016	0.036272006899966056	0.030881784101085927	0.03280497680495047	0.03158636395518641	0.028614283822166825	0.0	0.034940816842540814	0.05917308221288316	0.0922449052759202	0.11042116747322134
Gamma	0.1007218573224417	0.09498651127286416	0.10454524705789661	0.0988197248252522	0.10113160011998791	0.09560746074851102	0.033936552855093435	0.034459370862814864	0.036382563566679404	0.035163950716915346	0.03843925109964309	0.034940816842540814	0.0	0.05532831241629402	0.08840013547933107	0.10657639767663218
Lambda	0.10851894333302271	0.10278359728344517	0.11234233306847763	0.10661681083583321	0.10892868613056893	0.10340454675909204	0.05816881822543578	0.05869163623315721	0.06061482893702175	0.05939621608725769	0.06267151646998544	0.05917308221288316	0.05532831241629402	0.0	0.09619722148991208	0.1143734836872132
BA1	0.09090048296484138	0.08516513691526384	0.0947238727002963	0.08899835046765188	0.09131022576238759	0.0857860863909107	0.09124064128847283	0.09176345929619426	0.0936866520000588	0.09246803915029474	0.09574333953302248	0.0922449052759202	0.08840013547933107	0.09619722148991208	0.0	0.09675502331903188
SARS-CoV-1	0.10864347934310783	0.1029081332935303	0.11246686907856274	0.10674134684591832	0.10905322214065405	0.10352908276917716	0.10941690348577396	0.10993972149349537	0.11186291419735991	0.11064430134759587	0.11391960173032362	0.11042116747322134	0.10657639767663218	0.1143734836872132	0.09675502331903188	0.0
