	Delta	DeltaPlus	Beta	Mu	Alpha	Gamma	Lambda	XBB	XBB.1.16	EG5	XBB.1.5	BA2	BA5	BA1	Wuhan-Hu-1
Delta	0.0	0.03559145553057885	0.12014398616976402	0.1257164140021648	0.16859029553324598	0.16815537680365314	0.23778926853524057	0.32091705842462165	0.3445211900717257	0.33551339653702456	0.34693870953722156	0.290643576839847	0.3263757348645544	0.2639560953909824	0.11619594711455272
DeltaPlus	0.03559145553057885	0.0	0.14546307136766107	0.15103549920006185	0.19390938073114303	0.1934744620015502	0.2631083537331376	0.3462361436225187	0.36984027526962276	0.3608324817349216	0.3722577947351186	0.31596266203774404	0.35169482006245145	0.28927518058887947	0.14151503231244977
Beta	0.12014398616976402	0.14546307136766107	0.0	0.10212644148109343	0.17297657598758517	0.17254165725799234	0.24217554898957974	0.3253033388789608	0.34890747052606497	0.3398996769913638	0.3513249899915607	0.2950298572941862	0.3307620153188936	0.2683423758453216	0.13372776018973895
Mu	0.1257164140021648	0.15103549920006185	0.10212644148109343	0.0	0.17854900381998595	0.17811408509039311	0.24774797682198052	0.3308757667113616	0.3544798983584657	0.34547210482376456	0.35689741782396145	0.30060228512658693	0.33633444315129435	0.27391480367772236	0.13930018802213973
Alpha	0.16859029553324598	0.19390938073114303	0.17297657598758517	0.17854900381998595	0.0	0.16750303350673376	0.2440630279270179	0.32719081781639897	0.35079494946350304	0.34178715592880193	0.3532124689289988	0.2969173362316243	0.3326494942563317	0.27022985478275974	0.1821740695532209
Gamma	0.16815537680365314	0.1934744620015502	0.17254165725799234	0.17811408509039311	0.16750303350673376	0.0	0.24362810919742506	0.32675589908680613	0.3503600307339102	0.3413522371992091	0.352777550199406	0.29648241750203147	0.3322145755267389	0.2697949360531669	0.18173915082362807
Lambda	0.23778926853524057	0.2631083537331376	0.24217554898957974	0.24774797682198052	0.2440630279270179	0.24362810919742506	0.0	0.3543835039500405	0.37798763559714454	0.36897984206244344	0.3804051550626404	0.3241100223652658	0.35984218038997323	0.29742254091640125	0.2513730425552155
XBB	0.32091705842462165	0.3462361436225187	0.3253033388789608	0.3308757667113616	0.32719081781639897	0.32675589908680613	0.3543835039500405	0.0	0.03290507464336734	0.023897281108666235	0.03532259410886315	0.04883885335595678	0.14794959823678971	0.20431568469517397	0.3345008324445965
XBB.1.16	0.3445211900717257	0.36984027526962276	0.34890747052606497	0.3544798983584657	0.35079494946350304	0.3503600307339102	0.37798763559714454	0.03290507464336734	0.0	0.027012004479549767	0.04571531939199788	0.07244298500306084	0.17155372988389378	0.22791981634227804	0.3581049640917007
EG5	0.33551339653702456	0.3608324817349216	0.3398996769913638	0.34547210482376456	0.34178715592880193	0.3413522371992091	0.36897984206244344	0.023897281108666235	0.027012004479549767	0.0	0.03670752585729678	0.06343519146835974	0.16254593634919268	0.21891202280757693	0.3490971705569995
XBB.1.5	0.34693870953722156	0.3722577947351186	0.3513249899915607	0.35689741782396145	0.3532124689289988	0.352777550199406	0.3804051550626404	0.03532259410886315	0.04571531939199788	0.03670752585729678	0.0	0.07486050446855666	0.1739712493493896	0.23033733580777388	0.3605224835571964
BA2	0.290643576839847	0.31596266203774404	0.2950298572941862	0.30060228512658693	0.2969173362316243	0.29648241750203147	0.3241100223652658	0.04883885335595678	0.07244298500306084	0.06343519146835974	0.07486050446855666	0.0	0.11767611665201502	0.1740422031103993	0.3042273508598219
BA5	0.3263757348645544	0.35169482006245145	0.3307620153188936	0.33633444315129435	0.3326494942563317	0.3322145755267389	0.35984218038997323	0.14794959823678971	0.17155372988389378	0.16254593634919268	0.1739712493493896	0.11767611665201502	0.0	0.20977436113510672	0.3399595088845293
BA1	0.2639560953909824	0.28927518058887947	0.2683423758453216	0.27391480367772236	0.27022985478275974	0.2697949360531669	0.29742254091640125	0.20431568469517397	0.22791981634227804	0.21891202280757693	0.23033733580777388	0.1740422031103993	0.20977436113510672	0.0	0.2775398694109573
Wuhan-Hu-1	0.11619594711455272	0.14151503231244977	0.13372776018973895	0.13930018802213973	0.1821740695532209	0.18173915082362807	0.2513730425552155	0.3345008324445965	0.3581049640917007	0.3490971705569995	0.3605224835571964	0.3042273508598219	0.3399595088845293	0.2775398694109573	0.0
